id,tagID,tagValue
1405,885::965::16::25::17::24::508::201::18::4938::5831::74::7484::7869::713::1447::11847::12208,fav songs::absolute disco::new wave::80s::synth pop::pop::love::guilty pleasures::electronic::my favorites::always i wanna be with you and make believe with you::synthpop::robot unicorn attack::my loving::best song ever::remix::emotional song::new wave and eighties
2483,226::824::3495::625::7764::7862::8238::8501,california::mellow::tag your songs properly::soul::my favorite song::bond::1964::best songs of the 70s
1189,889::2200::16::2580::201::25::184::8506::9824::17,fav artists::adult contemporary::new wave::erotic::guilty pleasures::80s::soundtrack::oscar winning songs::i love my dad taste::synth pop
1529,39::90::18,dance::trance::electronic
2337,885::181::16::275::26::195::7869::2726::10092::25,fav songs::punk::new wave::post-punk::atmospheric::british::my loving::favorite songs::blitz playlist::80s
932,13::21::18,chillout::trip-hop::electronic
866,16::1353::74::850::306::1076,new wave::scottish::synthpop::cover::male vocalists::rock n roll
1027,16::25::889::17::709::18::74::515::24,new wave::80s::fav artists::synth pop::1982::electronic::synthpop::best of 80s::pop
1854,90::39::1351::18::297,trance::dance::vocal trance::electronic::pop-rock
1484,345::3586::4887::545::8505::8674,russian::contemporary classical::classical terror::classical::the best classical opera and film scores::this will make you shit your pants
2310,84::364::79::73::130::11933,indie rock::favorites::alternative::rock::female vocalists::girlamazing
310,483::39::90::1493::73::18::6683::8697::24,party::dance::trance::good mood::rock::electronic::ian van dahl::heard on pandora::pop
1103,39::90::13::3572::1097,dance::trance::chillout::loved::covers
392,90::1351::39::24::18::6656,trance::vocal trance::dance::pop::electronic::sylver
122,16::889::1155::17::25::201::850::4938::3444,new wave::fav artists::80's music::synth pop::80s::guilty pleasures::cover::my favorites::sheffield
2227,1096::14::7252::526::8670,chill zone::ambient::berep shows the love::piano::iron jesus
2145,376::5::1::194::378,metalcore::death metal::metal::hardcore::deathcore
1631,24::102::167::7587::346::7937::9471,pop::hip-hop::rnb::frauen und technik::female::pop singles::0 play yet
2478,81::84::79::6976::24,indie::indie rock::alternative::i love this song::pop
1349,24::16::128::130::14::179::3885::18::234::79::208::73,pop::new wave::hit::female vocalists::ambient::gothic::esmaga as outras cantoras atuais::electronic::amazing::alternative::diva::rock
1287,18::178::3222::187::79::180,electronic::screamo::better than the whores version::electronica::alternative::post-hardcore
702,24::103::1578::102::204::167::6686::8933::9343::11227,pop::rap::queen of hip hop::hip-hop::fierce::rnb::horrible::postmodern::female rap::future wifey
2319,275::81::67::127::88::7657::33,post-punk::indie::noise::seen live::psychedelic::mute records::experimental
2203,1549::85::167::625::37::7258::10120::83,70::funk::rnb::soul::groove::i am a party girl here is my soundtrack::sampled::jazz
327,511::195::6482::1833::11082,english::british::skins soundtrack::ninja tune::essential instrumental versions
1419,169::1249::9817::10456::12304,pop punk::powerpop::indie luv::ftsk selena gomez::ultimate music hit
2095,182::2139::181::30::259::261,punk rock::halloween::punk::german::psychobilly::punkabilly
634,73::178::512::180::176::185::3507,rock::screamo::romantic::post-hardcore::emo::acoustic::brazilian rock
301,192::247::73,classic rock::60s::rock
2662,24::512::167::206::234::9840::789,pop::romantic::rnb::<3::amazing::bruno mars::2010s
1169,73::79::508::176::169::18::206::78::6073::1671::3572::84::127::109::10236::24::4664,rock::alternative::love::emo::pop punk::electronic::<3::alternative rock::traga la bala::summer song::loved::indie rock::seen live::pop rock::teen days::pop::boys like girls
2655,18::39::6670::828,electronic::dance::bomfunk mcs::finnish
1882,1::177::2::1683::386::2596::738::127::8160::184::3882::216::11230::12029::1513::7108::481,metal::nu metal::alternative metal::new metal::heavy metal::heaver than beethoven softer than bieber::nu-metal::seen live::the fucking best::soundtrack::tags::american::sounds better live::tinosoft::shit::friendship::usa
800,73::176::186::206::185::169::508::79::1248::10448::24::213,rock::emo::emocore::<3::acoustic::pop punk::love::alternative::rio grande do sul::fresno e cabal::pop::beautiful
45,98::18::169::79::127::2056::176::73,summer::electronic::pop punk::alternative::seen live::pop-punk::emo::rock
2119,24::109::1645::73::18::195::389::5848::508::127::228::9829::10235::121::354::1753::1218,pop::pop rock::but the party dont stop::rock::electronic::british::britpop::makes me cry::love::seen live::catchy::es pop mama::ill be ok::uk::fun::cute::best of 2008
1710,24::81::73::79::195::84::4357::4952::206::5674::7562::2605::8716::9817::1495::9945::3279::207::2887::78::8392::9703,pop::indie::rock::alternative::british::indie rock::kooks::oui fm::<3::feel good::sww::favourite tracks::indierock::indie luv::sex::fave::the kooks::want to see live::energetic::alternative rock::ich liebe dich::wonderful
1454,1136::73::4952::6309::39::425,bass::rock::oui fm::best indie ever::dance::pastel
1181,14::34::7253::191,ambient::minimal::check::instrumental
1961,14::1534::364::187::6976::18::13,ambient::indietronica::favorites::electronica::i love this song::electronic::chillout
1072,14::13::1833::7995::18::2525::22,ambient::chillout::ninja tune::eldad::electronic::nu jazz::acid jazz
2583,109::2081::73::24::130::7134::39::346,pop rock::p!nk::rock::pop::female vocalists::really talented female artist who doesnt rely on her sexuality to gain success::dance::female
2737,2138::14::8697::9239::18::13,first-rate and free::ambient::heard on pandora::experimental techno::electronic::chillout
2637,21::959::2142::81::18::6736::6794::16::7252::14::8498::9702::79,trip-hop::po-kraftwerkski::songs for gil::indie::electronic::lost in translation::cities::new wave::berep shows the love::ambient::best songs of the 00s::sings like liam gallagher on a good day::alternative
2344,6::79::2::1::370,industrial metal::alternative::alternative metal::metal::favorite
1180,78::79::73::352::6796::7255::8508::1026,alternative rock::alternative::rock::90s::transport::mistagged track::best songs in the world::1994
2554,56::73::5759,melancholic::rock::most romantic songs ever
2604,73::24::1671,rock::pop::summer song
192,73::13::188::196::127::78::8392,rock::chillout::polish::polish rock::seen live::alternative rock::ich liebe dich
2658,139::102::9314,j-rock::hip-hop::precious
867,24::109::30,pop::pop rock::german
2309,347::102::6201::167::727::8397::1753::9471::371,gay::hip-hop::1::rnb::vocal::jams::cute::0 play yet::r and b
41,14::18::16::4012::4101::33::4540::233::7590::1911::10100::213::21,ambient::electronic::new wave::datura::depeche mode related::experimental::ambiental blues::dark::tangerine dream::cool::city names::beautiful::trip-hop
536,185::84::81::3076::2371::8392::73,acoustic::indie rock::indie::slowcore::gorgeous::ich liebe dich::rock
1192,296::3961::84::5327::364::601::81::1964,indie pop::poppy::indie rock::lag::favorites::swedish::indie::bouncy
819,199::16::74::18::13::494::84::187::130::396::39::24::184::26::7179::7588::81::9432::9819::11933::1447::12209,electropop::new wave::synthpop::electronic::chillout::synth::indie rock::electronica::female vocalists::electroclash::dance::pop::soundtrack::atmospheric::electro-indie::ladytronica::indie::broken-clash::my electro feelings::girlamazing::remix::other great tracks
2002,74::2726::18::9429::30,synthpop::favorite songs::electronic::dark disco::german
2070,1355::192::1032::195::24::695::8240::8503,christmas::classic rock::1991::british::pop::oldies::1963::best christmas songs
285,1098::130::24::695::8504::247::4773,miserable::female vocalists::pop::oldies::best songs of the 50s::60s::veronica mars
2242,210::562::86::130::42::2137::18::16::61::4886::74::9,00s::futuremelon::ebm::female vocalists::synth-pop::i am canadian::electronic::new wave::industrial::female electronic::synthpop::electro-industrial
1589,134::185::130::109::8303::193,singer-songwriter::acoustic::female vocalists::pop rock::tbu::country
2460,16::79::73::8161::130::39::12287,new wave::alternative::rock::good bands::female vocalists::dance::melrose place
2520,30::18::347::6687::396::9439::24::309::9819::11957,german::electronic::gay::girly-electro::electroclash::deconstruction::pop::electro::my electro feelings::electrolash
1184,70::14::18::10111::13,dubstep::ambient::electronic::tron::chillout
2596,184::216::1302::4994::8505::11757,soundtrack::american::composer::movie score composers::the best classical opera and film scores::film music composer
2263,799::16::961::18::17::74::79::514::1097::10261::238::19::11845,genius::new wave::zadrotstvo::electronic::synth pop::synthpop::alternative::depeche mode::covers::hang on::sexy::80's::trex
16,18::885::957::30::14::187::17::4649::74::19::4938::16::5453::309::5083::33::8670::9425::127::2336::11469::12029,electronic::fav songs::scholes song::german::ambient::electronica::synth pop::kraftwerk::synthpop::80's::my favorites::new wave::robots::electro::science::experimental::iron jesus::deep-clash::seen live::favorite artist::myfavoritesongs::tinosoft
2698,1534::21::47::18::13,indietronica::trip-hop::idm::electronic::chillout
28,88::75::73::1463::8235,psychedelic::psychedelic rock::rock::eerie::1966
2257,18::74::1887::4105::4788::21::238::127::17::46::14::4246::13::10590::12209,electronic::synthpop::intense::lottie::iamx::trip-hop::sexy::seen live::synth pop::melancholy::ambient::heart breaking::chillout::finger snapping::other great tracks
2108,88::3950::1434::10110,psychedelic::proto punk::the beatles::psychosis
2159,16::24::1099::1158::25::709::201::6625::718::4070::1355::10238,new wave::pop::christmas blend::supercool::80s::1982::guilty pleasures::christmas favourites::christmas songs::xmas::christmas::good morning
326,91::121::1::25::71,thrash metal::uk::metal::80s::hiphop
2593,180::178::24::78::73,post-hardcore::screamo::pop::alternative rock::rock
2514,16::25::885::1097::1184::73::72::2726::195::238::6682::184::24::306::7869::11501::229,new wave::80s::fav songs::covers::80z rock::rock::hard rock::favorite songs::british::sexy::bill idol::soundtrack::pop::male vocalists::my loving::groovesuspects::epic
2717,3::25::7870::190::275,goth rock::80s::punkwave::gothic rock::post-punk
62,202::1101::24::18::352::73::364::39::130::601::7937::8499::351::127::4962::9745,electro pop::morning::pop::electronic::90s::rock::favorites::dance::female vocalists::swedish::pop singles::best songs of the 90s::europop::seen live::just dance::makes me wanna dance
2224,73::79::130::1,rock::alternative::female vocalists::metal
1517,16::582::1099::275::2139::3::179::130::25::4938::543::1434::181::121::12208::1097,new wave::goff::christmas blend::post-punk::halloween::goth rock::gothic::female vocalists::80s::my favorites::stoner rock::the beatles::punk::uk::new wave and eighties::covers
418,72::25::79::275::73,hard rock::80s::alternative::post-punk::rock
1175,18::391::81::130::79,electronic::shoegaze::indie::female vocalists::alternative
2206,555::61::189::1536,industrial pop::industrial::industrial rock::synthrock
838,352::958::81::24::389::73::4278::330::6852::7517::127::9703::730::79,90s::the pedofinder general::indie::pop::britpop::rock::curious about::death::fav track of a band::brit-pop::seen live::wonderful::love at first listen::alternative
2594,83::191::1136::8827::32::33,jazz::instrumental::bass::study tunes::avant-garde::experimental
2663,182::176::79::73::25::1880::1222::1684::850::127::81::169::9822::180::181::78,punk rock::emo::alternative::rock::80s::one tree hill::hardcore punk::horrorpunk::cover::seen live::indie::pop punk::remember him::post-hardcore::punk::alternative rock
2285,199::958::84::18::127::73::79::9825::24::12209::662,electropop::the pedofinder general::indie rock::electronic::seen live::rock::alternative::just chillin::pop::other great tracks::perfect
1310,285::72::73::2726::11877,awesome::hard rock::rock::favorite songs::awesome-ness
2152,73::78::84::1041::176,rock::alternative rock::indie rock::2005::emo
361,134::81::1534::18::79::2837::33::234::364::9472::213::73::206::14::24::12126::121,singer-songwriter::indie::indietronica::electronic::alternative::viola::experimental::amazing::favorites::cesar::beautiful::rock::<3::ambient::pop::pretty much amazing::uk
371,1365::82::7,female fronted metal::doom metal::gothic metal
1607,2140::1::130::2,rock hard::metal::female vocalists::alternative metal
1824,18::24,electronic::pop
357,33::18::1864::195::39::61::90::209::1447::1023::184::6801::102::9474::187::127,experimental::electronic::leave you far behind::british::dance::industrial::trance::legend::remix::1992::soundtrack::cops::hip-hop::hans::electronica::seen live
2345,563::61::86::18,terrorbanana::industrial::ebm::electronic
14,180::78::178::176::9820::127,post-hardcore::alternative rock::screamo::emo::idolo::seen live
570,134::181::959::72::25::73::192::182::4643::79::184::370::10092::209::829::735::80::127,singer-songwriter::punk::po-kraftwerkski::hard rock::80s::rock::classic rock::punk rock::iggy pop::alternative::soundtrack::favorite::blitz playlist::legend::blues::70s::glam rock::seen live
1321,1::6::1216::2139::61::3790::3889::18::2::39::5896::231::28::595::569::72::1513::3882::75::9998::73::30::12021,metal::industrial metal::depeche mode covers::halloween::industrial::fave songs ever::melhor da alemanha::electronic::alternative metal::dance::rammstein - sonne::ballad::deutsch::war::germany::hard rock::shit::tags::psychedelic rock::uhull::rock::german::weekly top tracks
134,181::5939::182::230::25::194,punk::80s hardcore::punk rock::love it::80s::hardcore
402,814::79::6488::73::9829::10585::109::12577,perfection::alternative::just some guy::rock::es pop mama::jukebox project::pop rock::jacks mannequin
642,187::79::81::18::72::296::127::78::5305::228::309::184::73::8621::387::321::11798::719,electronica::alternative::indie::electronic::hard rock::indie pop::seen live::alternative rock::optimistic::catchy::electro::soundtrack::rock::six feet under soundtrack::progressive rock::french::yay::gossip girl
2735,956::79::73::81,the beowulfs choice::alternative::rock::indie
870,1::18::24::42::12549,metal::electronic::pop::synth-pop::mexican pop
1827,2140::18::61::1::6,rock hard::electronic::industrial::metal::industrial metal
1815,87::184::1849::2138::526::321::545::191::14::13::6291::393::885::7253::5778::10009::79::10315::12638::2784,post-rock::soundtrack::orgasm::first-rate and free::piano::french::classical::instrumental::ambient::chillout::studying::dream pop::fav songs::check::minimalism::amelie poulain::alternative::suicide songs::ezbeni::france
2006,387::1903::73::25::72::5748::127::192::6936::1228::8048::424::10826::611::12209,progressive rock::professional::rock::80s::hard rock::rush::seen live::classic rock::prog rock::guitar solo::driving music::progressive::70ss::canadian::other great tracks
2386,47::396::7252::8462::9437,idm::electroclash::berep shows the love::lastfm::witch-clash
2455,512::191::56::527::188::526::545::8505,romantic::instrumental::melancholic::classic::polish::piano::classical::the best classical opera and film scores
630,18::14::34::569,electronic::ambient::minimal::germany
796,76::417::9474::1,progressive metal::rock opera::hans::metal
687,39::105::321::18::24::13::8498,dance::house::french::electronic::pop::chillout::best songs of the 00s
2246,14::130::89::3884::73::208::1::414::11859::127::12404::7,ambient::female vocalists::symphonic metal::a voz mais bela de todas::rock::diva::metal::melodic metal::heavenly voice::seen live::tarja turunen::gothic metal
1909,73::1771::1867::81::78::104::352::79::8161::8468::13::9170::9541::24::3680,rock::kickass::chills::indie::alternative rock::chill out::90s::alternative::good bands::miscellaneous::chillout::silversun pickups::sunday drive time::pop::pure sex
1330,526::191::545::527::6375::66::321::7270::2784::500::4341,piano::instrumental::classical::classic::impressionism::abstract::french::technical progressive death metal::france::brilliant::light
1284,24::81::528::6794::12209,pop::indie::folk rock::cities::other great tracks
256,1::46::78::73::2::79::387::6769::72::184::87::9782::850::61::1097,metal::melancholy::alternative rock::rock::alternative metal::alternative::progressive rock::progressive rock -metal-::hard rock::soundtrack::post-rock::apc::cover::industrial::covers
645,81::8462::249::79::13::296,indie::lastfm::garage rock::alternative::chillout::indie pop
1595,86::2140::18::396::30::61,ebm::rock hard::electronic::electroclash::german::industrial
1847,73::79::1097::78::1::2856::72::512::85::8048::306::2::33::275::11961,rock::alternative::covers::alternative rock::metal::stunning::hard rock::romantic::funk::driving music::male vocalists::alternative metal::experimental::post-punk::mike bordin
291,564::18::14::88::588,psytrance::electronic::ambient::psychedelic::psychedelic trance
2397,32::8670::25::12041,avant-garde::iron jesus::80s::todaysart
1080,34::7258::9425::18,minimal::i am a party girl here is my soundtrack::deep-clash::electronic
185,527::191::545::523::526::544::5612::8505::234::8333,classic::instrumental::classical::nordic::piano::composers::don giovanni::the best classical opera and film scores::amazing::cuerdas
2066,16::25::73::885::201::24::2192::2523::192::1048::3496::195::1100::1911::1495::6895::127::231::216::8579::8826::10110::10532::229,new wave::80s::rock::fav songs::guilty pleasures::pop::album rock::level one::classic rock::1981::artists::british::rain::cool::sex::kick ass drummer::seen live::ballad::american::clint::late night tunes::psychosis::wish list::epic
942,95::535::30::191::545::951::1099::527::826::4887::6482::8505::2087::8024,autumn::baroque::german::instrumental::classical::sicp::christmas blend::classic::chill::classical terror::skins soundtrack::the best classical opera and film scores::depressive black metal::deutschland
1794,134::73::6853::24::389::6450,singer-songwriter::rock::hey song youre so fucking cute::pop::britpop::handclaps
221,958::79::24::850::134::127::121,the pedofinder general::alternative::pop::cover::singer-songwriter::seen live::uk
66,73::183::49::7490::8303::11487,rock::christian rock::female vocalist::anointed::tbu::quod me nutrit me destruit
1576,30::545::8505::191::229::6027,german::classical::the best classical opera and film scores::instrumental::epic::20th century classical
986,2726::85::1495::352::370::79::481,favorite songs::funk::sex::90s::favorite::alternative::usa
2621,137::73::2727::4952::79::321::46,specials to 3mmey::rock::qt::oui fm::alternative::french::melancholy
252,24::18::3810::296::5014::130,pop::electronic::jesus::indie pop::the asteroids galaxy tour::female vocalists
2100,191::387::185::76,instrumental::progressive rock::acoustic::progressive metal
956,527::191::545::213::120::512::13::28::6648::2185::526::8505::11358,classic::instrumental::classical::beautiful::world music::romantic::chillout::deutsch::makes me want to die in the good way::music::piano::the best classical opera and film scores::depre
1898,138::76::191::1263::1::2::88::72::79::387::4956::73::1842::352::7660::4506::10841::4868::424,hard rock - metal::progressive metal::instrumental::experimental metal::metal::alternative metal::psychedelic::hard rock::alternative::progressive rock::guerilla::rock::math metal::90s::calming::tool::led zeppelin cover::gods::progressive
2582,73::3142::3579::247::409::3603::76::72::830::8048::191::10101,rock::guitar gods::instrumental rock::60s::guitar virtuoso::awesome guitar jams::progressive metal::hard rock::guitar::driving music::instrumental::afterglow
2692,191::545,instrumental::classical
1509,201::824::16::625::24::25,guilty pleasures::mellow::new wave::soul::pop::80s
1196,234::4::26::537::1372::76::82::33::385::1,amazing::black metal::atmospheric::neofolk::folk metal::progressive metal::doom metal::experimental::melodic death metal::metal
1920,18::16::13::713::344,electronic::new wave::chillout::best song ever::witch house
2259,545::191::512::526::2784,classical::instrumental::romantic::piano::france
1463,78::364::81::24::216::185,alternative rock::favorites::indie::pop::american::acoustic
2444,127::713::102::1882,seen live::best song ever::hip-hop::favorite song
2107,296::5009::364::8858,indie pop::rockville ca::favorites::whimsical
1157,835::84::81::8854,nostalgia::indie rock::indie::buy this
987,82::4997::56::9640,doom metal::symphonic folk doom metal::melancholic::bazarov
2387,387::533::32::424,progressive rock::renaissance::avant-garde::progressive
1848,1::127::72::4956::177::738::2::185::73,metal::seen live::hard rock::guerilla::nu metal::nu-metal::alternative metal::acoustic::rock
2571,83::14::364::159::541::140,jazz::ambient::favorites::anime::japanese::j-pop
59,2143::127::6956::7253::33::32::713::42::67,my angular favourites::seen live::the best songs of the world::check::experimental::avant-garde::best song ever::synth-pop::noise
1889,83::547::37::18::526::22::7253::10111,jazz::fusion::groove::electronic::piano::acid jazz::check::tron
1844,191::3586::545::10230::526,instrumental::contemporary classical::classical::listened more than 10 times in a row::piano
2373,2137::134::73::292::3428::33::79::330::24::8237::780::46::2726::9639::9646::5687::178::611::13,i am canadian::singer-songwriter::rock::folk::bitter::experimental::alternative::death::pop::1967::legends::melancholy::favorite songs::arkadi::anja1992::montreal::screamo::canadian::chillout
2232,73::16::79::84::81::213::5742::1911::210::78::2393::46::9820::9945::17::12209::2938::12330::121,rock::new wave::alternative::indie rock::indie::beautiful::beatles julia::cool::00s::alternative rock::other::melancholy::idolo::fave::synth pop::other great tracks::twilight::editors::uk
2467,61::1::177::7::738::2456,industrial::metal::nu metal::gothic metal::nu-metal::greatest hits
2640,61::189::2::1,industrial::industrial rock::alternative metal::metal
1111,139::5082::191::541::73::79::159,j-rock::otaku::instrumental::japanese::rock::alternative::anime
2605,130::6483::10113::81::11933,female vocalists::complete sentences::the type of woman i am::indie::girlamazing
426,195::18::81::4278::127::825::8032::9182::47::309::199::9817::9945::187::713::10691::13::855::11877,british::electronic::indie::curious about::seen live::relaxing::dance with somebody::sxsw2006::idm::electro::electropop::indie luv::fave::electronica::best song ever::triple j::chillout::new rave::awesome-ness
176,229::18::47::14::13::829::1039,epic::electronic::idm::ambient::chillout::blues::1997
2238,432::299::823,brazilian::world::brasil
280,73::5532::72::127::2,rock::baixar::hard rock::seen live::alternative metal
2178,2142::81::24::84::296::33::6489::2233::73::10691::360::11791::11879,songs for gil::indie::pop::indie rock::indie pop::experimental::one of my favorite songs that i always forget about::twee::rock::triple j::australian::not-emo::hand claps
873,192::73::226::134::247::1356::24::1023::6727::850::231::3600::9227::108::25,classic rock::rock::california::singer-songwriter::60s::50s::pop::1992::dumb and dumber::cover::ballad::1969::sun rockabilly::rock and roll::80s
2457,1099::1355::2191::181::364::25::130::2068::73::275::4070,christmas blend::christmas::college rock::punk::favorites::80s::female vocalists::irish::rock::post-punk::xmas
2379,1368::5332::5824::79::5329::185::6450::227,funny::guitar-based digi-bongo acapella-rap-funk-comedy folk duo::new zealands fourth most popular digi-folk parody duo::alternative::anti-folk::acoustic::handclaps::comedy
1365,87::14::1::7955::180,post-rock::ambient::metal::holy fucking shit i came in fucking buckets::post-hardcore
1125,79::1812::24::84::81::296::195::6976::127::73,alternative::noise pop::pop::indie rock::indie::indie pop::british::i love this song::seen live::rock
857,14::18::13::7589::27,ambient::electronic::chillout::relaxing muscles::ethereal
724,296::935::74::2580::79::81::6450,indie pop::lo-fi::synthpop::erotic::alternative::indie::handclaps
1853,513::2239::79::292::526::4289::10306::73::127,nostalgic::cabaret::alternative::folk::piano::songs ive obsessed over::just love::rock::seen live
2484,180::33::81::176::11935,post-hardcore::experimental::indie::emo::smash it up
835,819::87::229::14::191::33,my music pillow::post-rock::epic::ambient::instrumental::experimental
1429,387::191::7290::76,progressive rock::instrumental::insane keyboard player::progressive metal
1050,292::134::5329::8510::3807,folk::singer-songwriter::anti-folk::best songs of 1900 to 1950::blue
2391,1099::545::535::8505::2726::191::8333,christmas blend::classical::baroque::the best classical opera and film scores::favorite songs::instrumental::cuerdas
1919,2144::33::387::425::9550,songs for sssi::experimental::progressive rock::pastel::a capella
1234,432::693::823::127::134,brazilian::mpb::brasil::seen live::singer-songwriter
1307,32::7996::5778::8670::3586,avant-garde::for work::minimalism::iron jesus::contemporary classical
972,78::73::182::1911::8967::180::127::611,alternative rock::rock::punk rock::cool::canadian heroes::post-hardcore::seen live::canadian
209,180::73::178::2::176::4671::376::380::1::72::127::4408,post-hardcore::rock::screamo::alternative metal::emo::emo rock::metalcore::metal core::metal::hard rock::seen live::really good
321,73::176::6712::130::508,rock::emo::stick it to the man::female vocalists::love
54,176::186::178::2::3603::611::180::73::72::6976,emo::emocore::screamo::alternative metal::awesome guitar jams::canadian::post-hardcore::rock::hard rock::i love this song
2207,81::84::16::73::216::12593,indie::indie rock::new wave::rock::american::be your own pet
2068,79::73::176::178::5818::6069::180::9817::11223::12544,alternative::rock::emo::screamo::4m4zinq::thbstofthehistory::post-hardcore::indie luv::so sweet::in bloom
603,109::2600::169::73::127,pop rock::a band for girls and pussies::pop punk::rock::seen live
331,24::308::508::81,pop::latin::love::indie
2473,176::178::180::6130::49::79::186,emo::screamo::post-hardcore::best best best::female vocalist::alternative::emocore
410,181::79::56::73::1368::3217::182::78::719::661::513::127::169::8306::3364::10236::1,punk::alternative::melancholic::rock::funny::play it loud::punk rock::alternative rock::gossip girl::ballads::nostalgic::seen live::pop punk::songs that remind me of summer 07-08::crap::teen days::metal
2392,178::18::376::1::180::230,screamo::electronic::metalcore::metal::post-hardcore::love it
2250,1096::73::24::176::79::206::81::9821::842::10942::8392,chill zone::rock::pop::emo::alternative::<3::indie::inlove::piano rock::emo x3::ich liebe dich
863,79::134::130::213::5286,alternative::singer-songwriter::female vocalists::beautiful::the vampire diaries
1584,180::178::127::73::195,post-hardcore::screamo::seen live::rock::british
1814,87::391::8730::836::821,post-rock::shoegaze::drug music::dreamy::post rock
1459,81::18::6485::195,indie::electronic::fashionably punctuated band::british
472,195::73::4258::191::445::829,british::rock::barrelhouse covers::instrumental::blues rock::blues
791,2723::194::169::3970::1539,beardcore::hardcore::pop punk::lol::melodic hardcore
1664,73::78::169::297::3394::79::109,rock::alternative rock::pop punk::pop-rock::the pussycat dolls::alternative::pop rock
1149,181::16::182::370::735,punk::new wave::punk rock::favorite::70s
2716,73::3521::176::499::178,rock::pop emo::emo::melodic::screamo
163,176::180::178::186::73::7977,emo::post-hardcore::screamo::emocore::rock::post-ironic beardcore
1476,378::376::5::194::1::3539,deathcore::metalcore::death metal::hardcore::metal::good shit
2634,130::181::4632::16::11933,female vocalists::punk::the slits::new wave::girlamazing
2196,73::180::176::4671::6368::78::1753,rock::post-hardcore::emo::emo rock::i hate you::alternative rock::cute
198,169::206::285::181::79::508::1880::1249::73::127::109::6976::39::5286::182,pop punk::<3::awesome::punk::alternative::love::one tree hill::powerpop::rock::seen live::pop rock::i love this song::dance::the vampire diaries::punk rock
131,5::742::4::2096::6778::7954::9613,death metal::brutal death metal::black metal::blackened death metal::death-black metal::black metal cabeza::polish death metal
398,78::79::180::176::73::181::207::169::127,alternative rock::alternative::post-hardcore::emo::rock::punk::want to see live::pop punk::seen live
1086,1534::33::130::4636::18::508::6482::826::13::79::11798,indietronica::experimental::female vocalists::broadcast::electronic::love::skins soundtrack::chill::chillout::alternative::yay
292,79::169::24::5818::6061::6483::127::9817::73::1753::12581,alternative::pop punk::pop::4m4zinq::coolemo::complete sentences::seen live::indie luv::rock::cute::cute is what we aim for
1511,170::5532::1::127::7953::16,grunge::baixar::metal::seen live::chugga chugga chugga::new wave
6,86::2140::61::18::3664::170::9,ebm::rock hard::industrial::electronic::skinny puppy::grunge::electro-industrial
2092,33::741::1::4328,experimental::grindcore::metal::friends
